OTU,V41,V42,V43,V45,V44,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V93,V94
OTU1028,10.74113856,25.52719201,4.497751124,1.828153565,3.537735849,0,1.278772379,0,4.987531172,0,0,1.831501832,0,0,0,0,23.00884956,12.04819277,36.42384106,93.16770186,8.948545861,40.17857143,35.21126761,12.94498382,14.4057623,15.11335013,15.4494382,22.08835341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.445086705,0,5.016722408,7.109004739,2.894356006,0,6.082725061,0,0,0,0
OTU3031,2.148227712,2.219755827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3853,1.074113856,1.109877913,1.499250375,0,0,0,0,4.545454545,9.975062344,0,0,0,0,2.403846154,0,2.735978112,1.769911504,0,0,0,0,0,0,0,1.200480192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU932,1.074113856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.518891688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.672240803,0,0,0,1.216545012,0,0,17.30103806,0
OTU1328,1.074113856,0,0,7.31261426,0,1.048218029,0,0,0,0,0,0,0,0,0,4.103967168,3.539823009,0,0,24.8447205,0,0,0,0,0,0,0,0,5.772005772,0,0,19.7044335,18.79327399,1.680672269,1.366120219,0,0,0,7.865168539,2.2172949,0,0,27.4566474,0,8.361204013,2.369668246,7.235890014,8.368200837,4.866180049,3.053435115,4.854368932,0,19.7486535
OTU3433,1.074113856,1.109877913,0,1.828153565,0,1.048218029,0,0,0,7.974481659,0,424.9084249,17.45200698,0,0,0,0,0,0,0,0,0,0,0,1.200480192,0,130.6179775,2.008032129,0,0,0,0,0,0,0,332.8,16.59125189,4.316546763,0,0,2.123142251,0,0,0,1.672240803,2.369668246,17.36613603,2.789400279,96.10705596,4.580152672,2.427184466,0,19.7486535
OTU2327,8.592910849,36.62597114,1.499250375,5.484460695,3.537735849,11.53039832,3.836317136,56.06060606,4.987531172,0,2.604166667,1.831501832,3.490401396,7.211538462,9.803921569,49.24760602,12.38938053,12.04819277,6.622516556,0,0,0,21.12676056,4.854368932,45.6182473,37.78337531,57.58426966,220.8835341,88.02308802,50.84745763,80.90614887,262.3152709,124.6290801,31.93277311,35.51912568,1.6,33.18250377,10.07194245,24.71910112,46.5631929,84.92569002,38.35227273,2.89017341,0,1.672240803,0,21.70767004,4.184100418,2.433090024,18.32061069,75.24271845,41.52249135,37.70197487
OTU3177,8.592910849,124.3063263,22.48875562,5.484460695,17.68867925,58.70020964,52.42966752,24.24242424,37.40648379,12.75917065,2.604166667,18.31501832,0,0,4.901960784,1.367989056,60.17699115,40.96385542,26.49006623,71.42857143,11.18568233,8.928571429,7.042253521,4.854368932,6.00240096,0,0,20.08032129,7.215007215,1.303780965,2.157497303,6.157635468,32.64094955,3.361344538,1.366120219,0,1.508295626,0,2.247191011,0,2.123142251,11.36363636,4.335260116,0,30.10033445,11.84834123,18.81331404,0,9.732360097,13.74045802,43.68932039,0,7.181328546
OTU4377,1.074113856,3.32963374,7.496251874,10.96892139,0,2.096436059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.732240437,8,0,12.94964029,0,0,0,0,0,0,0,0,0,0,0,1.526717557,0,0,0
OTU554,2.148227712,1.109877913,8.995502249,0,4.716981132,14.67505241,7.672634271,0,2.493765586,1.594896332,0,0,0,0,1.633986928,0,7.079646018,2.409638554,26.49006623,0,2.237136465,0,0,8.090614887,0,0,4.213483146,6.024096386,17.31601732,5.215123859,2.157497303,3.694581281,0.989119683,1.680672269,0,0,0,0,2.247191011,2.2172949,0,4.261363636,7.225433526,0,0,9.478672986,14.47178003,8.368200837,3.649635036,0,0,0,0
